stock,buy,sell,shares
Cardano,10.4686,7.3486,87
Monero,41.8294,43.8136,13
Monero,7.4717,0.439,29
Bitcoin,5.2532,19.184,16
Etherium,33.3885,30.6826,98
Dogecoin,38.4271,35.856,86
Monero,41.5231,16.9429,31
Cardano,27.584,6.8301,41
Etherium,20.3659,30.7223,15
Monero,38.3422,19.7873,23
Etherium,25.577,49.0021,53
Dogecoin,5.3032,25.1889,63
Monero,49.0985,0.6522,18
Dogecoin,37.8958,43.0667,62
Etherium,41.077,10.2284,24
Cardano,28.8157,46.8994,13
Monero,39.7675,28.7385,55
Cardano,1.3977,1.2511,91
Etherium,14.7907,17.1003,75
Etherium,39.217,21.1239,29
Cardano,42.9644,1.3245,28
Bitcoin,44.6007,16.9571,22
Cardano,39.2043,30.5001,98
Etherium,49.6599,11.3715,42
Monero,43.8988,28.4535,85
Cardano,28.0776,29.8692,89
Cardano,26.7209,44.445,28
Monero,37.3963,15.5731,83
Dogecoin,45.7521,37.9952,98
Monero,40.8612,1.6321,23
Cardano,15.6135,5.4403,86
Monero,25.3687,28.2606,65
Cardano,21.229,33.4059,83
Bitcoin,31.487,4.256,97
Cardano,48.0381,4.7561,94
Etherium,2.8679,23.5712,21
Cardano,32.8174,47.7806,80
Dogecoin,43.5087,31.1708,2
Etherium,5.4684,11.7491,83
Etherium,49.162,45.1695,43
Bitcoin,20.3198,8.9603,29
Etherium,30.5514,4.8108,80
Cardano,16.7258,5.8827,97
Etherium,7.2332,2.1297,2
Monero,22.203,33.4392,32
Monero,40.29,9.5087,100
Bitcoin,10.6231,2.3286,41
Bitcoin,8.9339,44.3096,31
Etherium,21.8265,10.7405,94
Bitcoin,1.0769,6.8362,7
Etherium,22.1771,1.4866,8
Etherium,48.1593,33.2777,70
Dogecoin,11.9724,0.3676,25
Monero,1.7084,26.3803,26
Bitcoin,40.4446,9.0074,38
Cardano,1.2333,21.062,18
Dogecoin,30.5039,3.3014,42
Bitcoin,17.331,34.9808,48
Etherium,15.4184,39.8459,100
Bitcoin,10.3525,1.5382,97
Bitcoin,21.0514,34.3765,96
Monero,38.6972,8.1098,40
Etherium,31.7546,3.9774,89
Cardano,26.5546,41.4434,42
Bitcoin,16.4012,48.8273,50
Etherium,13.9204,12.1031,19
Cardano,8.6759,49.2715,90
Monero,38.0811,38.2537,35
Etherium,39.5906,43.5817,24
Bitcoin,34.6675,48.6314,15
Dogecoin,33.5333,4.6632,4
Monero,21.759,41.6102,66
Bitcoin,31.8588,45.5621,93
Dogecoin,47.5565,39.6013,83
Monero,45.7164,17.6646,31
Etherium,26.6307,41.5213,61
Dogecoin,36.4646,26.1499,40
Dogecoin,3.951,49.4518,41
Bitcoin,49.7177,27.4307,96
Etherium,49.6597,42.0926,59
Bitcoin,7.9456,12.1716,17
Etherium,21.56,10.6488,15
Monero,40.7084,6.3202,55
Bitcoin,42.3164,43.1293,8
Bitcoin,49.5117,10.4731,72
Bitcoin,42.1578,39.9412,38
Etherium,14.1596,5.6622,53
Monero,9.0562,14.376,95
Bitcoin,34.6557,26.6786,49
Dogecoin,38.0893,17.3184,29
Monero,34.4982,3.5927,99
Monero,21.0226,1.1878,73
Cardano,16.2979,1.3444,42
Dogecoin,3.6331,15.7206,59
Etherium,41.4815,23.9405,91
Dogecoin,38.4998,7.6885,18
Cardano,16.7202,39.4261,3
Etherium,39.07,43.7061,78
Dogecoin,41.6332,30.6647,18
Cardano,21.7238,23.4239,95
Dogecoin,4.9462,0.153,81
Etherium,38.1688,27.2857,76
Cardano,45.6432,37.1032,18
Bitcoin,18.4645,39.3055,92
Dogecoin,7.7226,22.2172,82
Monero,11.6023,5.3329,96
Monero,28.1701,36.8016,94
Cardano,9.7136,8.1106,42
Bitcoin,27.6252,38.1736,79
Dogecoin,24.6069,42.4168,77
Monero,0.933,21.3217,28
Dogecoin,29.7394,4.5166,65
Bitcoin,35.6329,15.7879,4
Bitcoin,35.6464,46.2957,98
Etherium,12.3042,43.5299,16
Etherium,20.0555,2.5514,40
Bitcoin,14.2909,22.5774,100
Dogecoin,14.615,29.358,33
Monero,25.4328,45.4009,90
Cardano,44.4944,41.4478,10
Cardano,10.8553,14.2019,67
Dogecoin,25.6869,4.3341,36
Cardano,14.1525,5.6204,76
Bitcoin,34.2421,15.189,22
Dogecoin,32.9794,28.9273,56
Dogecoin,7.3402,0.4483,89
Etherium,32.6446,26.0062,50
Etherium,15.1342,44.6707,40
Etherium,14.041,12.852,24
Monero,33.9731,28.7908,13
Cardano,27.6496,41.789,66
Etherium,5.5535,38.4736,26
Bitcoin,5.0514,36.1558,94
Dogecoin,46.1102,39.3082,21
Bitcoin,43.0133,11.3456,25
Etherium,34.7573,21.4186,87
Cardano,11.6182,17.4824,20
Etherium,33.2015,20.5483,32
Etherium,13.4822,3.9537,45
Cardano,18.2561,16.0724,19
Dogecoin,1.3482,45.666,7
Cardano,23.7422,41.0803,15
Dogecoin,14.3972,28.5856,15
Dogecoin,25.8216,39.4536,54
Etherium,24.8775,49.4379,64
Etherium,12.1481,48.5218,45
Bitcoin,36.1872,31.4339,38
Cardano,14.8779,6.6206,7
Etherium,4.1266,26.0646,75
Monero,24.5997,26.583,27
Bitcoin,40.2066,38.8736,52
Etherium,21.1744,42.7713,22
Cardano,33.3336,20.1468,85
Etherium,34.0251,0.7709,16
Etherium,28.2011,30.3992,64
Cardano,15.1191,43.0619,62
Etherium,2.0442,31.867,52
Etherium,32.5055,32.8888,50
Etherium,22.4818,30.4371,29
Monero,46.0319,49.3766,20
Cardano,10.6412,47.411,96
Etherium,45.7143,3.7344,76
Monero,8.9298,44.9779,70
Bitcoin,12.7039,13.2992,17
Etherium,26.8661,23.3237,98
Etherium,3.3527,43.0183,56
Etherium,40.8111,26.7312,31
Bitcoin,40.6413,22.1733,27
Bitcoin,6.0945,41.9993,38
Bitcoin,39.288,1.6273,29
Cardano,0.0619,42.7425,65
Monero,9.4877,10.5278,62
Etherium,16.7341,8.5879,47
Cardano,18.1948,18.3434,87
Monero,12.7523,11.1476,27
Cardano,46.3578,20.5181,56
Monero,36.2176,29.1398,67
Monero,4.7389,36.8998,89
Dogecoin,32.5728,24.6619,82
Monero,35.6422,9.2385,4
Dogecoin,24.4729,49.1166,29
Cardano,36.7621,3.9652,62
Bitcoin,13.4421,47.3763,75
Cardano,39.7797,35.5567,97
Dogecoin,34.7971,15.6768,94
Cardano,18.4201,36.179,36
Dogecoin,2.9354,41.3144,6
Dogecoin,48.4721,6.9101,49
Etherium,36.0856,16.1671,45
Cardano,34.0332,22.3696,79
Cardano,33.1534,24.9761,65
Monero,46.3833,49.3063,9
Monero,6.1506,19.0777,48
Cardano,29.3948,21.4562,19
Bitcoin,26.8083,43.0433,48
