stock,buy,sell,shares
Facebook,125.2237,173.0714,44
Google,169.7569,182.8032,43
Google,292.4715,131.6984,82
Amazon,157.5252,109.2173,37
Apple,111.3834,111.7864,53
Facebook,287.4621,282.345,49
Facebook,122.4637,223.4675,89
Apple,206.528,280.1371,32
Facebook,276.1484,110.1503,49
Amazon,171.3225,286.7249,58
Microsoft,189.5987,265.7277,85
Apple,218.6235,120.2836,99
Facebook,187.5764,138.6674,57
Facebook,297.1281,201.998,31
Microsoft,236.7224,117.2428,17
Facebook,217.2396,121.8339,26
Facebook,115.504,225.9184,100
Amazon,241.6746,220.3166,31
Facebook,205.1217,166.9872,44
Amazon,106.1465,179.0771,72
Facebook,221.9357,133.2704,58
Microsoft,150.2724,225.1989,82
Google,102.2363,223.4558,35
Google,270.2082,131.781,61
Microsoft,145.7026,156.6254,75
Google,251.753,274.9213,72
Microsoft,202.7918,245.6982,68
Facebook,228.2736,160.907,100
Google,212.6849,287.0202,71
Microsoft,148.8703,197.3862,35
Apple,234.9226,292.3996,29
Apple,141.0842,209.9552,72
Facebook,256.6501,110.3503,90
Google,139.7038,231.1461,59
Amazon,242.8587,113.0724,66
Facebook,267.3678,146.9679,52
Facebook,125.9811,223.6579,14
Facebook,290.9544,249.2806,46
Microsoft,252.5432,148.1901,4
Microsoft,133.8658,157.2621,71
Microsoft,242.1703,265.7647,27
Google,248.3611,156.0976,90
Google,247.7173,225.344,63
Google,183.2235,177.4984,53
Facebook,149.5202,225.6827,61
Apple,243.6213,115.5034,56
Facebook,294.4438,163.9412,30
Google,203.3964,244.6326,16
Amazon,160.3672,170.9306,76
Facebook,232.2226,194.966,66
Facebook,150.1662,140.8468,5
Microsoft,137.9601,110.2906,12
Apple,132.7335,103.3654,15
Facebook,172.3175,137.1393,74
Apple,186.0192,292.1432,57
Google,141.4261,243.9469,62
Apple,134.5081,226.0405,4
Google,290.5658,124.8128,11
Google,193.1942,137.8431,79
Facebook,290.3795,285.5066,48
Facebook,234.9925,201.5621,61
Google,143.5875,257.3801,63
Facebook,164.1267,242.7978,72
Amazon,139.5069,275.6578,100
Amazon,216.3029,221.5161,1
Amazon,156.8661,275.4503,82
Facebook,268.9747,291.4872,15
Amazon,287.7441,269.6442,84
Microsoft,125.2646,158.0582,6
Amazon,254.6307,126.5205,31
Google,146.139,155.5013,81
Microsoft,139.4302,188.6551,15
Microsoft,117.7266,106.3719,28
Microsoft,222.6943,110.9267,6
Facebook,253.3954,123.0756,99
Amazon,242.8541,228.8893,41
Amazon,176.5721,241.4967,43
Google,275.2495,270.7958,30
Apple,121.1489,289.1387,95
Facebook,299.3567,188.0483,48
Facebook,249.1736,197.7636,28
Google,143.5328,157.8759,72
Amazon,109.5496,132.4347,68
Google,179.4578,297.5563,69
Google,222.7819,248.3343,42
Apple,137.0725,187.4527,34
Microsoft,156.1515,142.6554,32
Facebook,257.3541,208.3202,21
Amazon,152.2859,158.4538,92
Amazon,140.7353,287.8773,60
Facebook,238.9841,186.7843,54
Google,173.9425,176.5276,76
Google,224.2115,284.9168,11
Amazon,263.8848,296.4233,87
Microsoft,272.5426,220.7682,48
Facebook,197.0877,145.0449,2
Apple,109.1905,299.5429,37
Apple,186.6708,179.0513,100
Facebook,122.8786,251.3835,85
Apple,110.4779,157.092,96
Facebook,193.7438,207.2892,16
Apple,121.2362,152.0989,94
Google,283.4969,217.7101,34
Apple,209.9157,110.8227,19
Apple,136.5566,213.5657,54
Facebook,201.9825,175.0098,80
Google,179.3804,146.9712,17
Amazon,241.5149,190.9093,96
Google,116.6417,110.7487,59
Microsoft,263.8525,257.3835,85
Apple,259.2436,246.9288,42
Apple,297.5314,268.4641,66
Apple,218.2023,268.5779,78
Microsoft,294.4434,172.2372,50
Google,218.9771,271.7487,10
Microsoft,124.3003,211.9433,23
Google,282.577,220.0933,21
Amazon,141.5867,214.8111,6
Apple,187.5324,293.553,11
Facebook,162.4974,166.3666,45
Apple,264.6833,181.7032,94
Microsoft,221.9703,268.481,11
Facebook,228.8256,194.7397,71
Microsoft,156.4131,249.323,37
Amazon,140.2305,265.6876,70
Apple,103.6612,295.4101,2
Facebook,264.9559,199.8015,7
Apple,175.8659,197.1676,32
Apple,298.059,231.538,14
Amazon,146.2264,135.8299,71
Facebook,196.6611,117.4253,53
Amazon,145.6768,295.2962,58
Facebook,228.9023,151.2951,63
Amazon,267.9639,252.5006,66
Apple,252.8786,167.0615,69
Facebook,259.7202,262.1953,16
Google,146.8123,182.6944,51
Facebook,108.5459,105.4346,48
Google,187.5746,216.439,8
Microsoft,184.3861,267.2047,69
Google,128.2469,170.5246,29
Facebook,277.6986,169.8541,64
Google,117.4691,207.1173,60
Apple,271.7681,217.7365,62
Google,267.5841,299.3143,37
Amazon,170.3297,273.3472,12
Facebook,155.5953,129.3578,46
