Company Name,Price
Anheuser,1539
Cincinnati Bell Inc. Common Stock,1577
"Gray Communications Systems, Inc. Common Stock",291
"D.R. Horton, Inc. Common Stock",1651
"Merrill Lynch & Co., Inc. Merrill Lynch Capital Trust III 7.375% Trust Preferred Securities",1632
"Blackrock MuniYield Quality Fund, Inc. Common Stock",1627
Royal Bank of Scotland Group Plc (The) ADR repstg Pref Shs Ser Q,33
"U.S. Silica Holdings, Inc. Common Stock",960
BB&T Corporation Depositary Shares Representing 1/1000th Interest Series F Perpetual Preferred,1528
"Hannon Armstrong Sustainable Infrastructure Capital, Inc. Common Stock",572
American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest,1652
Cincinnati Bell Inc. Preferred Stock,1726
"America Movil, S.A.B. de C.V. American Depository Receipt Series L",305
"DineEquity, Inc Common Stock",292
KKR Financial Holdings LLC 8.375% Senior Notes due 2041,1725
Wyndham Worldwide Corp Common  Stock,1546
American Tower Corporation (REIT) Common Stock,1845
"Gabelli Convertible and Income Securities Fund, Inc. (The) Series B 6.00% Cumulative Preferred Stock",458
"PennyMac Financial Services, Inc. Class A Common Stock",736
Blackrock Limited Duration Income Trust,1357
United States Steel Corporation Common Stock,1893
Associated Banc,1205
"Equity Lifestyle Properties, Inc. Common Stock",1691
Weingarten Realty Investors Depository Shares Restg 1/100 Pfd Ser F,887
"M&T Bank Corporation Fixed Rate Cumulative Perpetual Preferred Stock, Series C",209
Brunswick Corporation Common Stock,366
Pimco Corporate & Income Strategy Fund Common Stock,1316
"MetLife, Inc. Common Stock",8
BlackRock Strategic Municipal Trust Inc. (The) Common Stock,943
RBS Capital Funding Trust V,1272
Konami Corporation American Depositary Shares (Each repstg one share of Common Stock),1626
"Nuveen Municipal Advantage Fund, Inc. Common Stock",607
"Myers Industries, Inc. Common Stock",96
"Ventas Realty, Limited Partnership // Ventas Capital Corporation 5.45% Senior Notes due 2043",698
"Applied Industrial Technologies, Inc. Common Stock",788
Blackstone GSO Long Short Credit Income Fund Common Shares,771
"India Fund, Inc. (The) Common Stock",1623
"Rosetta Stone Rosetta Stone, Inc.",1188
BioAmber Inc. Common Stock,1520
"American Financial Group, Inc. Common Stock",34
Aeropostale Inc Common Stock,765
"Ciber, Inc. Common Stock",1956
International Shipholding Corporation Common Stock,268
Stonegate Mortgage Corporation Common Stock,1526
Ares Capital Corporation 5.875% Senior Notes due 2022,261
"WESCO International, Inc. Common Stock",514
"Equus Total Return, Inc. Common Stock",1810
"Dreyfus Strategic Municipals, Inc. Common Stock",1052
MPLX LP Common Units Representing Limited Partner Interests,1822
"B&G Foods, Inc. B&G Foods, Inc. Common Stock",1781
M&T Bank Corporation Common Stock,599
Lehman ABS Corporation Corporate,1226
"BGC Partners, Inc. 8.125% Senior Notes due 2042",1817
Blackrock MuniYield Investment Quality Fund Common Shares of Beneficial Interest,1916
Statoil ASA,934
Sasol Ltd. American Depositary Shares,659
"Flagstar Bancorp, Inc. Common Stock",131
Eaton Vance Tax,182
Western Asset High Income Fund II Inc. Common Stock,434
Merrill Lynch Depositor Inc PPlus Tr Ser RRD,1573
"Flowers Foods, Inc. Common Stock",485
Yingli Green Energy Holding Company Limited ADR,1248
UnitedHealth Group Incorporated Common Stock,1291
Associated Estates Realty Corporation Common Stock,1117
"Celadon Group, Inc. Common Stock",1212
"Ashford Hospitality Prime, Inc. Common Stock",1765
"Goldman Sachs Group, Inc. (The) Perpetual Preferred Series I",1785
Xcel Energy Inc. Common Stock,1935
"Banco Latinoamericano de Comercio Exterior, S.A.",1073
Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,1834
Eros International PLC A Ordinary Shares,638
Rowan Companies plc Class A Ordinary Shares,1486
New Source Energy Partners L.P. Common Units Representing Limited Partner Interests,889
Toro Company (The) Common Stock,1662
Nuveen S&P 500 Dynamic Overwrite Fund,980
Ares Management L.P. Common Units representing Limited Partner Interests,219
Ensco plc Class A Ordinary Shares,1801
General Cable Corporation Common Stock,1038
Putnam Municipal Opportunities Trust Common Stock,547
Bank Amer Corp Dep Sh Repstg 1/1000th Pfd Ser I,1923
HSBC Holdings plc PERP SUB CAP SECS EXCH PREF SHS SER 2 (United Kingdom),856
Eagle Point Credit Company Inc. Common Stock,126
"Live Nation Entertainment, Inc. Common Stock",76
"Saul Centers, Inc. Depositary Shares, each representing 1/100th of a share of 6.875% Series C Cumulative Redeemable Preferred Stock, $0.01 par value",360
"HCC Insurance Holdings, Inc. Common Stock",416
Briggs & Stratton Corporation Common Stock,940
Royal Bank of Scotland Group Plc (The) Preferred Stock,1793
Suncor Energy  Inc. Common Stock,245
Eaton Vance Corporation Common Stock,1230
Stone Energy Corporation Common Stock,534
Parker,1109
Convergys Corporation Common Stock,519
AMN Healthcare Services Inc AMN Healthcare Services Inc,1404
Two Harbors Investment Corp,1231
Ashford Hospitality Trust Inc 9.00% Series E Cumulative Preferred Stock,224
RenaissanceRe Holdings Ltd. Common Stock,1008
"Landauer, Inc. Common Stock",625
ICICI Bank Limited Common Stock,548
Weyerhaeuser Company Pref Conv Ser A,555
St. Joe Company (The) Common Stock,1447
"Skechers U.S.A., Inc. Common Stock",191
Principal Financial Group Inc Common Stock,1306
"Blackrock MuniEnhanced Fund, Inc Common Stock",1519
Fomento Economico Mexicano S.A.B. de C.V. Common Stock,867
Embotelladora Andina S.A. Common Stock,264
"Royce Value Trust, Inc. Common Stock",1039
Entercom Communications Corporation Common Stock,1217
"JPMorgan Chase Capital XXIX 6.70% Capital Securities, Series CC",151
"New America High Income Fund, Inc. (The) Common Stock",680
Black Hills Corporation Common Stock,277
"DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062",1914
Safeway Inc. Common Stock,1125
"Natuzzi, S.p.A.",1103
"Blackrock MuniYield New Jersey Quality Fund, Inc. Common Stock",438
Sunoco LP Common Units representing limited partner interests,30
SEACOR Holdings Inc. Common Stock,1553
"Georgia Power Company Georgia Power Company 6 1/8% Series Class A Preferred Stock, Non",137
"PIMCO Strategic Income Fund, Inc.",1093
"Proto Labs, Inc. Common stock",999
BlackRock Municipal Bond Investment Trust,431
John Hancock Preferred Income Fund Common Shares of Beneficial Interest,301
"Nuveen California Municipal Value Fund, Inc. Common Stock",726
"Anthem, Inc. Common Stock",906
"Delta Air Lines, Inc. Common Stock",26
Illinois Tool Works Inc. Common Stock,1080
"AGL Resources, Inc. Common Stock",1615
"Navigant Consulting, Inc. Common Stock",185
Manchester United Ltd. Class A Ordinary Shares,114
Morgan Stanley Cap Tr III Capital Trust Securities,505
Coca Cola Femsa S.A.B. de C.V.  Common Stock,1590
"Forum Energy Technologies, Inc. Common Stock",1063
"MFA Financial, Inc.",405
"Imperva, Inc. Common Stock",708
Banco Santander,1611
Frank's International N.V. Common Stock,250
Talisman Energy Inc. Common Stock,1138
Equity Commonwealth 7.25% Series E Cumulative Redeemable Preferred Shares,411
Halcon Resources Corporation Common Stock,1733
Exelon Corporation Common Stock,1155
Portland General Electric Co Common Stock,445
AngloGold Ashanti Limited Common Stock,1201
Sonoco Products Company Common Stock,17
"Chegg, Inc. Common Stock",784
Accenture plc. Class A Ordinary Shares (Ireland),1002
"Banco Santander, S.A. 6.50% Non",984
"C1 Financial, Inc. Common Stock",144
"Bemis Company, Inc. Common Stock",1857
Public Storage Common Stock,1543
Chesapeake Energy Corporation Common Stock,838
"Lexmark International, Inc. Common Stock",1196
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",753
"FleetCor Technologies, Inc. Common Stock",1020
"Zweig Total Return Fund, Inc. (The) Common Stock",1703
Newmont Mining Corporation,1267
Winthrop Realty Trust 7.75% Senior Notes due 2022,89
Quanex Building Products Corporation Common Stock,1170
EPR Properties Common Stock,964
"Coach, Inc. Common Stock",127
Santander Finance Preferred SA Unipersonal Floating Rate Non,1949
Aluminum Corporation of China Limited American Depositary Shares,302
"Nuveen Premium Income Municipal Fund IV, Inc. Common Stock",121
"Atlas Pipeline Partners, L.P. Cumulative Redeemable Perpetual Preferred Units Class E",1042
"Nuveen New Jersey Dividend Advantage Municipal Fund MuniFund Term Preferred Shares, 2.00% Series 2015, $10.00 Liquidation preference per share",274
"Comstock Resources, Inc. Common Stock",920
"QEP Resources, Inc. Common Stock",204
Alleghany Corporation Common Stock,1415
"Westar Energy, Inc. Common Stock",1746
"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",1686
"Stag Industrial, Inc. Common Stock",215
Chubb Corporation (The) Common Stock,1323
OMNOVA Solutions Inc. Common Stock,1353
GenCorp Inc. Common Stock,1813
"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",1350
MV Oil Trust Units of Beneficial Interests,1333
"Entergy Louisiana, Inc. 6.0% Series Due March 15, 2040",1174
"Fixed Income Trust for Goldman Sachs Subordinated Notes, Series 2011",1367
Teekay Offshore Partners L.P. Common Units representing Limited Partner Interests,58
Kinross Gold Corporation Common Stock,1924
Iron Mountain Incorporated (Delaware)Common Stock,1408
Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,716
Citigroup Inc. Depositary Share representing 1/1000 interest in a share of noncumulative series L,764
Koppers Holdings Inc. Koppers Holdings Inc. Common Stock,486
"SunTrust Banks, Inc. Depositary Shares Representing Perpetual Preferred Series E",491
"Parsley Energy, Inc. Class A Common Stock",1184
"ServiceNow, Inc. Common Stock",672
American Vanguard Corporation Common Stock ($0.10 Par Value),1410
"Gabelli Convertible and Income Securities Fund, Inc. (The) Common Stock",550
"Blount International, Inc. Common Stock",1216
"Era Group, Inc. Common Stock",633
Stifel Financial Corp. 6.70% Senior Note due 2022,832
"Boston Properties, Inc. Common Stock",1964
Mobileye N.V. Ordinary Shares,592
Canadian Natural Resources Limited Common Stock,452
"HSBC USA, Inc. Preferred Series F Floating Rate",701
Radioshack Corporation Common Stock,1574
W.R. Grace & Co. Common Stock,1894
Philip Morris International Inc Common Stock,1368
Harley,535
Precision Castparts Corporation Common Stock,1122
Agrium Inc. Common Stock,192
RenaissanceRe Holdings Ltd. 6.08% Series C Preference Shares,1056
Vectren Corporation Common Stock,1634
"Bankrate, Inc. Common Stock",1688
"Apollo Commercial Real Estate Finance, Inc",1000
"Sun Communities, Inc. Preferred Series A",1206
DTE Energy Company 2011 Series I 6.50% Junior Subordinate Debentures due 2061,1631
World Fuel Services Corporation Common Stock,49
"CF Industries Holdings, Inc. Common Stock",193
"Digital Realty Trust, Inc. Common Stock",1818
Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,584
Dr. Reddy's Laboratories Ltd Common Stock,621
Christopher & Banks Corporation Common Stock,1554
Nuveen California Dividend Advantage Municipal Fund Common Stock,1241
Hecla Mining Company Preferred Stock,205
"Cedar Realty Trust, Inc. 7.25% Series B Cumulative Redeemable Preferred Stock",812
"Lithia Motors, Inc. Common Stock",1919
Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest,221
Petroleum Resources Corporation Common Stock,1244
"Dominion Resources, Inc. Common Stock",147
Investors Real Estate Trust Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,85
Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,1450
"Etablissements Delhaize Freres et Cie ""Le Lion"" S.A. Common Stock",1699
"Internationa Flavors & Fragrances, Inc. Common Stock",635
Lincoln National Corporation Common Stock,1579
Wisconsin Energy Corporation Common Stock,822
Camden Property Trust Common Stock,859
Urstadt Biddle Properties Inc. Preferred Stock Series G 6.75%,1848
Kansas City Southern Preferred Stock,69
"StanCorp Financial Group, Inc. Common Stock",1684
Centrus Energy Corp. Class A Common Stock,363
OFG Bancorp 7.125% Non,665
La Quinta Holdings Inc. Common Stock,236
Weight Watchers International Inc Weight Watchers International Inc,1515
"New York Community Bancorp, Inc. Common Stock",235
"Basic Energy Services, Inc. Common Stock",1605
Entergy Corporation Common Stock,1931
Morgan Stanley Cap Tr V Gtd Cap Secs,1379
PIMCO Income Strategy Fund Shares of Beneficial Interest,450
"AutoNation, Inc. Common Stock",1583
"Comerica Incorporated Warrant expiring November 14, 2018",351
US Bancorp Del Dep Shs Repstg 1/1000th Perp Pfd Ser H,364
"Springleaf Holdings, Inc. Common Stock",729
California Water Service Group Common Stock,796
Main Street Capital Corporation 6.125% Senior Notes due 2023,628
"Lumber Liquidators Holdings, Inc Common Stock",325
Charles Schwab Corporation Depositary Shares Representing 1/40th Int Sh Non Cumulative Preferred Stock Series B,1070
"Omega Healthcare Investors, Inc. Common Stock",1149
"Reinsurance Group of America, Incorporated Common Stock",1120
Teva Pharmaceutical Industries Limited American Depositary Shares,119
"Hudson Pacific Properties, Inc. Common Stock",11
"Managed High Yield Plus Fund, Inc. Common Stock",1426
LaSalle Hotel Properties 6.375% Series I Cumulative Redeemable Redeemable Preferred SBI,1090
"Enable Midstream Partners, LP Common Units representing limited partner interests",710
"Big Lots, Inc. Common Stock",686
Nuveen Credit Strategies Income Fund Shares of Beneficial Interest,1839
Solar Capital Ltd. 6.75% Senior Notes due 2042,1150
"IDACORP, Inc. Common Stock",1744
"DCP Midstream Partners, LP DCP Midstream Partnership, LP Common Units",1717
Kansas City Southern Common Stock,152
"Miller Energy Resourses, Inc. Common Stock",664
Whitewave Foods Company (The) Common Stock,396
Credit Suisse Group American Depositary Shares,757
Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest,821
KKR Financial Holdings LLC Pfd Ser A Llc,1477
"Digital Realty Trust, Inc. Redeemable Preferred Stock Series H",1750
US Bancorp Del DEPOSITARY SH S G,1214
"Norcraft Companies, Inc. Common Stock",1228
Asbury Automotive Group Inc Common Stock,99
"Thor Industries, Inc. Common Stock",872
Canadian National Railway Company Common Stock,1400
"SK Telecom Co., Ltd. Common Stock",1483
"China Zenix Auto International Limited American Depositary Shares, each representing four ordinary shares.",1606
"Host Hotels & Resorts, Inc. Common Stock",1877
"BlackRock, Inc. Common Stock",735
Timken Company (The) Common Stock,1274
AllianzGI Equity & Convertible Income Fund,1326
Eaton Vance Senior Income Trust Common Stock,515
Tata Motors Ltd Tata Motors Limited,1860
"West Pharmaceutical Services, Inc. Common Stock",1521
"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc.",667
"Banc of California, Inc. Depositary Shares",998
Ares Commercial Real Estate Corporation Common Stock,239
Hill,171
"Blackrock MuniYield Michigan Quality Fund II, Inc. Common Stock",426
"Hawaiian Electric Industries, Inc. 6.5 % Cum QUIPS",1589
General Motors Company Warrant (Expires 07/10/2019),630
AVG Technologies N.V. Ordinary Shares,300
"Entergy New Orleans, Inc. First Mortgage Bonds, 5.0% Series due December 1, 2052",974
BlackRock New York Municipal Income Trust,962
Cabela's Inc Class A Common Stock,1669
Dow Chemical Company (The) Common Stock,530
Devon Energy Corporation Common Stock,1322
Corporate Office Properties Trust Common Stock,570
Covance Inc. Common Stock,844
Freeport,750
Nustar Energy L.P.  Common Units,837
Precision Drilling Corporation Common Stock,594
"Terra Nitrogen Company, L.P. Common Units",329
Compass Diversified Holdings Shares of Beneficial Interest,178
InterXion Holding N.V. Ordinary Shares (0.01 nominal value),869
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),991
Pimco Municipal Income Fund II Common Shares of Beneficial Interest,115
"Nuveen Quality Municipal Fund, Inc.  Common Stock",1809
KKR & Co. L.P. Common Units Representing Limited Partnership Interest,949
Molina Healthcare Inc Common Stock,1134
Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,1742
Fortuna Silver Mines Inc Ordinary Shares (Canada),1720
ZAIS Financial Corp. Common Stock,1066
Goldcorp Inc. Common Stock,1028
"Cullen/Frost Bankers, Inc. Perpetual Preferred Series A",1524
Oil,862
Empresa Nacional de Electricidad S.A. Common Stock,1178
First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest,132
Eastman Kodak Company Common New,1911
"Rudolph Technologies, Inc. Common Stock",1481
"Source Capital, Inc. Common Stock",878
China Telecom Corp Ltd ADS,1005
Knowles Corporation Common Stock,1499
Gerdau S.A. Common Stock,415
Wal,1967
SPX Corporation Common Stock,972
"Maximus, Inc. Common Stock",37
IHS Inc. IHS Inc. Class A Common Stock,98
Hilltop Holdings Inc.,1988
Archer,1078
Annaly Capital Management Inc Common Stock,1862
ASA  Gold and Precious Metals Limited,908
Petroquest Energy Inc Common Stock,1068
Great Plains Energy Incorporated Preferred Stock,500
Ship Finance International Limited,1280
Agria Corporation American Depositary Shares,1495
Babson Capital Global Short Duration High Yield Fund Common Shares of Beneficial Interests,524
"RPC, Inc. Common Stock",1678
Progressive Corporation (The) Common Stock,1852
MGIC Investment Corporation Common Stock,469
"NL Industries, Inc. Common Stock",1320
Comcast Corporation 5.00% Notes due 2061,805
"Cobalt International Energy, Inc. COBALT INTERNATIONAL ENERGY, INC.",1277
Pioneer Energy Services Corp. Common Stk,624
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,1089
Amphenol Corporation Common Stock,1851
Kayne Anderson MLP Investment Company Series G Mandatory Redeemable Preferred Shares Liquidation Preference,27
Invesco Municipal Trust Common Stock,1625
Gigamon Inc. Common Stock,921
Diversified Real Asset Income Fund Common Shares of Beneficial Interest,674
Royal Bank of Scotland Group Plc (The) Sponsored ADR Repstg Pref Ser S (United Kingdom),1880
Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non,546
"Entergy Louisiana, LLC First Mortgage Bonds, 5.875% Series due June 15, 2041",521
"Western Refining Inc. Western Refining, Inc. Common Stock",879
First Potomac Realty Trust Common Shares of Beneficial Interest,1035
Nuveen Diversified Dividend and Income Fund Shares of Beneficial Interest,1411
Orion Marine Group Inc Common,518
Emulex Corporation Common Stock,1324
"Carter's, Inc. Common Stock",1614
Brinks Company (The) Common Stock,1397
Hi,1905
Nordic American Tankers Limited Common Stock,1161
Gabelli Dividend & Income Tr Preferred Series A,1246
Enpro Industries Inc,511
"Webster Financial Corporation Warrant (expiring November 21, 2018)",552
"RE/MAX Holdings, Inc. Class A Common Stock",1636
"CACI International, Inc. Class A Common Stock",516
"Lowe's Companies, Inc. Common Stock",792
Hatteras Financial Corp Cum Redeemable Pfd Ser A,92
Sempra Energy Common Stock,1898
PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,1668
"Equity Lifestyle Properties, Inc. Depositary Shares each representing 1/100th of a share of 6.75% Series C Cumulative Redeemable Perpetual Preferred Stock",589
"Entergy Arkansas, Inc. First Mortgage Bonds, 4.90% Series Due December 1, 2052",1239
"Starwood Hotels & Resorts Worldwide, Inc. Common Stock",846
"Methode Electronics, Inc. Common Stock",456
Deutsche Bank AG Common Stock,1414
"Quanta Services, Inc. Common Stock",1599
"Dycom Industries, Inc. Common Stock",886
"Express, Inc. Common Stock",1510
CNH Industrial N.V. Common Shares,1993
"Mexico Equity and Income Fund, Inc. (The) Common Stock",818
Clearwater Paper Corporation Common Stock,1300
Cliffs Natural Resources Inc. Depositary Shares Representing 1/40th Preferred Convertible Series A,1783
"Paycom Software, Inc. Common Stock",496
RAIT Financial Trust New Common Shares of Beneficial Interest,808
"Dominion Midstream Partners, LP Common Units representing Limited Partner Interests",356
VALE S.A.,1918
"MS Income Securities, Inc. Common Stock",1071
Blackrock Municipal Bond Trust,668
"Spectra Energy Partners, LP Common Units representing Limited Partner Interests",965
Las Vegas Sands Corp. Common Stock,875
Dorian LPG Ltd. Common Stock,1266
Corporate Office Properties Trust Preferred Series L,1249
Templeton Emerging Markets Fund Common Stock,1480
"NQ Mobile Inc. American Depositary Shares, each representing five Class A common shares",1740
Restoration Hardware Holdings Inc. Common Stock,273
Petroleo Brasileiro S.A.,74
"Oppenheimer Holdings, Inc. Class A Common Stock (DE)",319
Marin Software Incorporated Common Stock,1869
Telus Corporation Ordinary Shares,451
POSCO Common Stock,617
Blackrock MuniYield Pennsylvania Quality Fund Common Stock,369
BHP Billiton Limited Common Stock,990
Trina Solar Limited Sponsored ADR (Cayman Islands),1207
Cenovus Energy Inc Common Stock,1659
"SunCoke Energy, Inc. Common Stock",791
CVR Energy Inc. Common Stock,1797
MFC Industrial Ltd.,112
Gafisa SA Gafisa S.A. American Depositary Shares,1007
Castle (A.M.) & Co. Common Stock,770
Carnival Plc ADS ADS,337
Voya Global Equity Dividend and Premium Opportunity Fund,1336
Travelport Worldwide Limited Common Shares,1105
Deutsch Bk Contingent Cap Tr V Tr Pfd Secs,134
Sensata Technologies Holding N.V. Ordinary Shares,1942
"Entergy Mississippi, Inc. First Mortgage Bonds, 6.0% Series due May 1, 2051",1287
Fiduciary/Claymore MLP Opportunity Fund Fiduciary/Claymore MLP Opportunity Fund Common Shares of Beneficial Interest,567
"Blackrock MuniYield Fund, Inc.  Common Stock",1576
Pioneer Natural Resources Company Common Stock,604
Fleetmatics Group PLC Ordinary Shares,816
BlackRock Floating Rate Income Trust,295
Enterprise Products Partners L.P. Common Stock,1761
"Carbo Ceramics, Inc. Common Stock",1171
"Roundy's, Inc. Common Stock",1929
Vornado Realty Trust Pfd S K,958
Textura Corporation Common Stock,1597
Wabash National Corporation Common Stock,1710
"General Electric Capital Corporation 4.70% Notes due May 16, 2053",634
Seaspan Corporation Cumulative Redeemable Perpetual Preferred Series E (Marshall Islands),910
"Vitamin Shoppe, Inc Common Stock",501
Deere & Company Common Stock,742
China Life Insurance Company Limited American Depositary Shares,206
"Aqua America, Inc. Common Stock",1645
CPFL Energia S.A. CPFL Energia S.A. American Depositary Shares,1769
Huaneng Power Intl Common Stock,1843
Bank of America Corporation Depositary Shares Rpstg 1/1000th Interest in Sh of Non Cum Pfd Stk Ser D,377
First Trust/Aberdeen Emerging Opportunity Fund Common Shares of Beneficial Interest,1251
